== DEBUG MODE ==

testing SPI
    COM Slave Initialize
Searching for: C
recieved: 1
recieved: 2
recieved: 3
recieved: 4
recieved: 5
recieved: 6
recieved: 7
recieved: 8
recieved: 9
recieved: 1
recieved: 2
recieved: 3
recieved: 4
recieved: 5
recieved: 6
recieved: 7
recieved: 8
recieved: 9
recieved: 1
recieved: 2
recieved: 3
recieved: 4
recieved: 4
recieved: 5
recieved: 6
recieved: 7
recieved: 8
recieved: 9
recieved: 1
recieved: 2
recieved: 3
recieved: 4
recieved: 5
recieved: 6
recieved: 7
recieved: 8
recieved: 9
recieved: 1
recieved: 2
recieved: 3
recieved: 4
recieved: 5
recieved: 6
recieved: 8
recieved: 9
recieved: 1
recieved: 2
recieved: 3
recieved: 4
recieved: 5
recieved: 6
recieved: 7
recieved: 8
recieved: 9
recieved: 1
recieved: 2
recieved: 3
recieved: 4
recieved: 5
recieved: 6
recieved: 7
recieved: 8
recieved: 9
recieved: 1
recieved: 2
recieved: 4
recieved: 5
recieved: 6
recieved: 7
recieved: 8
recieved: 9
recieved: 1
recieved: 2
recieved: 3
recieved: 4
recieved: 5
recieved: 6
recieved: 7
recieved: 8
recieved: 9
recieved: 1
recieved: 2
recieved: 3
recieved: 4
recieved: 5
recieved: 6
recieved: 8
recieved: 9
recieved: 1
recieved: 2
recieved: 3
recieved: 4
recieved: 5
recieved: 6
recieved: 7
recieved: 8
recieved: 9
recieved: 1
recieved: 2
recieved: 3
All tests complete! --------------------
